Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2884,0.00,-0.03,1.00,-0.00,-0.04,-0.14
2892,-0.00,-0.02,1.00,-0.00,-0.04,-0.15
2901,0.01,-0.00,1.00,-0.00,-0.04,-0.13
2909,0.00,0.01,1.01,-0.00,-0.04,-0.12
2916,0.01,0.02,1.00,-0.00,-0.04,-0.11
2924,0.04,0.02,1.00,-0.00,-0.04,-0.11
2932,0.03,0.03,1.00,-0.00,-0.04,-0.09
2940,0.03,0.04,1.00,-0.00,-0.04,-0.08
2948,0.02,0.03,1.00,-0.00,-0.04,-0.08
2956,0.02,0.03,1.00,0.00,-0.03,-0.09
2964,-0.00,0.02,1.00,0.00,-0.03,-0.09
2971,0.01,0.00,1.00,0.00,-0.03,-0.11
2979,-0.01,-0.00,1.00,0.00,-0.03,-0.12
2988,0.02,-0.01,1.00,0.00,-0.02,-0.16
2995,0.02,-0.03,1.01,0.00,-0.02,-0.19
3003,0.03,-0.01,1.00,0.00,-0.03,-0.21
3011,0.03,-0.01,1.00,0.00,-0.03,-0.22
3018,0.01,0.03,1.00,0.00,-0.02,-0.18
3027,0.00,0.05,1.00,0.00,-0.01,-0.14
3035,0.00,0.05,1.00,-0.00,0.01,-0.11
3043,-0.01,0.05,1.00,-0.00,0.01,-0.08
3050,-0.01,0.05,1.00,-0.00,0.02,-0.06
3058,-0.02,0.03,1.00,-0.00,0.03,-0.05
3067,-0.02,0.01,1.00,-0.00,0.03,-0.05
3074,-0.01,0.00,1.00,-0.00,0.02,-0.03
3082,-0.01,-0.01,1.00,-0.00,0.02,-0.02
3090,-0.01,-0.04,0.99,-0.00,0.05,-0.04
3098,-0.01,-0.03,1.01,-0.00,0.04,-0.05
3105,-0.01,-0.02,1.00,0.00,0.03,-0.04
3114,-0.00,-0.01,1.01,0.00,0.03,-0.05
3122,-0.00,-0.01,1.01,0.00,0.02,-0.07
3129,-0.01,-0.01,1.00,0.00,0.02,-0.08
3137,-0.01,0.00,1.00,0.00,0.01,-0.07
3145,-0.02,0.01,1.00,0.00,0.01,-0.07
3154,-0.02,0.00,1.00,0.00,0.01,-0.06
3161,-0.03,-0.00,1.00,0.00,0.01,-0.06
3169,-0.02,-0.01,1.00,0.00,0.01,-0.06
3177,-0.01,-0.01,1.00,0.00,0.01,-0.06
3184,-0.02,-0.02,1.00,0.00,0.01,-0.06
3192,0.01,-0.01,1.00,0.00,0.00,-0.06
3201,0.01,-0.01,1.01,0.00,-0.00,-0.06
3208,0.01,-0.01,1.00,0.00,-0.00,-0.06
3216,0.02,-0.01,1.00,0.00,-0.01,-0.05
3224,0.02,-0.01,1.00,0.00,-0.01,-0.07
3232,0.02,-0.02,1.00,0.00,-0.00,-0.08
3240,0.01,-0.02,1.00,0.00,-0.00,-0.08
3248,-0.02,-0.02,1.01,0.00,-0.00,-0.07
3256,-0.01,-0.01,1.01,0.00,-0.00,-0.04
3263,-0.01,-0.01,1.00,0.00,0.00,-0.02
3271,0.00,-0.02,1.01,0.00,-0.00,-0.03
3280,-0.00,-0.03,1.00,0.00,0.00,-0.05
3287,0.00,-0.02,1.00,0.00,-0.01,-0.04
3295,-0.00,-0.02,1.00,0.00,-0.01,-0.03
3303,-0.00,-0.02,1.00,0.00,-0.01,-0.01
3311,-0.00,-0.02,1.01,0.00,-0.01,0.00
3318,-0.01,-0.02,1.00,0.00,-0.01,0.01
3327,-0.00,-0.02,1.00,0.00,-0.02,0.01
3335,-0.00,-0.02,1.00,0.00,-0.02,0.00
3342,-0.00,-0.02,1.00,0.00,-0.03,-0.01
3350,-0.00,-0.02,1.00,0.00,-0.02,-0.03
3358,0.01,-0.03,1.00,0.00,-0.02,-0.06
3366,0.01,-0.03,1.00,0.00,-0.02,-0.08
3374,-0.00,-0.03,1.00,0.00,-0.02,-0.09
3382,-0.01,-0.02,1.00,0.00,-0.02,-0.11
3389,-0.00,-0.02,1.00,0.00,-0.02,-0.13
3397,-0.01,-0.01,1.00,0.00,-0.02,-0.14
3405,-0.01,-0.01,1.00,0.00,-0.02,-0.13
3414,0.01,-0.00,1.00,0.00,-0.02,-0.13
3421,-0.01,0.00,1.00,0.00,-0.03,-0.11
3429,-0.01,0.02,1.00,0.00,-0.03,-0.08
3437,0.00,0.01,1.01,0.00,-0.03,-0.06
3444,-0.03,0.01,1.00,0.00,-0.02,-0.04
3453,-0.01,0.01,1.00,0.00,-0.02,-0.03
3461,-0.01,0.01,1.00,0.00,-0.02,-0.02
3468,-0.02,0.00,1.00,0.00,-0.02,-0.01
3476,-0.01,0.00,1.00,0.00,-0.02,-0.01
3484,-0.02,0.00,1.00,0.00,-0.02,-0.00
3493,0.00,-0.00,1.01,0.00,-0.02,0.01
3500,-0.01,0.00,1.00,0.00,-0.02,0.01
3508,-0.01,0.00,0.99,0.00,-0.01,0.01
3516,-0.01,0.00,1.00,0.00,-0.01,0.01
3523,0.01,-0.00,1.00,0.00,-0.01,0.01
3531,-0.01,0.00,1.00,-0.00,-0.01,0.02
3540,-0.02,0.01,1.00,-0.00,-0.00,0.02
3547,-0.02,0.02,1.00,-0.00,0.00,0.04
3555,-0.03,0.01,1.00,-0.00,0.01,0.04
3563,-0.01,0.00,1.00,-0.01,0.01,0.04
3570,-0.02,0.00,1.00,-0.01,0.01,0.04
3579,-0.01,-0.01,1.00,-0.01,0.02,0.04
3587,-0.01,-0.01,1.00,-0.01,0.02,0.05
3595,-0.01,-0.01,1.01,-0.01,0.01,0.04
3602,-0.02,-0.01,1.00,-0.01,0.01,0.04
3610,-0.00,-0.01,1.00,-0.01,0.01,0.05
3618,-0.01,-0.01,1.00,-0.01,0.01,0.05
3626,-0.00,-0.01,1.00,-0.01,0.01,0.05
3634,-0.01,-0.01,1.00,-0.01,0.01,0.05
3642,-0.01,-0.00,1.00,-0.01,0.01,0.06
3650,-0.01,0.00,1.00,-0.01,0.01,0.06
3657,0.00,0.00,1.00,-0.01,0.02,0.05
3666,-0.00,-0.00,1.00,-0.01,0.01,0.05
3674,0.00,0.01,1.00,-0.01,0.02,0.06
3681,0.00,0.00,1.00,-0.01,0.01,0.06
3689,-0.01,-0.00,1.00,-0.01,0.02,0.07
3697,0.01,-0.00,1.01,-0.01,0.02,0.07
3704,0.01,-0.01,1.00,-0.01,0.02,0.08
3713,0.00,-0.01,1.00,-0.01,0.02,0.09
3721,-0.02,-0.01,1.00,-0.01,0.02,0.11
3728,0.01,-0.00,1.00,-0.00,0.01,0.12
